direction,start_frame,end_frame,frame_length,formation
right,58358,58408,51,Unknown
left,58408,58637,230,0-6
left,58588,58711,124,Unknown
left,58662,58773,112,Unknown
left,58724,58820,97,Unknown
left,58777,58942,166,Unknown
left,58893,58995,103,Unknown
left,58946,58996,51,Unknown
right,58996,59489,494,Unknown
right,59442,59543,102,Unknown
right,59494,59544,51,Unknown
left,59544,59730,187,Unknown
left,59681,59792,112,Unknown
left,59743,59843,101,Unknown
left,59794,59920,127,Unknown
left,59871,59955,85,Unknown
left,59922,60216,295,Unknown
left,60167,60267,101,Unknown
left,60218,60268,51,Unknown
right,60268,60884,617,Unknown
right,60835,60939,105,Unknown
right,60890,60992,103,Unknown
right,60943,61020,78,Unknown
right,60996,61063,68,Unknown
right,61061,61163,103,Unknown
right,61118,61214,97,Unknown
right,61206,61270,65,Unknown
right,61263,61353,91,Unknown
right,61343,61491,149,Unknown
right,61459,61563,105,Unknown
right,61514,61564,51,Unknown
right,61565,61668,104,Unknown
right,61634,61686,53,1-5
right,61690,61788,99,Unknown
right,61760,62181,422,1-5
right,62170,62306,137,1-5
right,62271,62424,154,Unknown
right,62376,62470,95,Unknown
right,62436,62535,100,Unknown
right,62488,62588,101,Unknown
right,62540,62630,91,Unknown
right,62608,62700,93,Unknown
right,62666,62722,57,Unknown
right,62726,62967,242,Unknown
right,62934,63058,125,Unknown
right,63009,63059,51,Unknown
left,63059,63209,151,Unknown
left,63160,63262,103,Unknown
left,63214,63316,103,Unknown
left,63267,63367,101,Unknown
left,63318,63429,112,Unknown
left,63380,63475,96,Unknown
left,63440,64119,680,1-5
left,64097,64257,161,Unknown
left,64208,64309,102,Unknown
left,64260,64372,113,Unknown
left,64323,64430,108,Unknown
left,64381,64431,51,Unknown
right,64431,64845,415,Unknown
right,64798,64900,103,Unknown
right,64852,64906,55,Unknown
right,64912,65303,392,Unknown
right,65269,65384,116,Unknown
right,65335,65434,100,Unknown
right,65386,65472,87,1-5
right,65442,65557,116,Unknown
right,65508,65578,71,Unknown
right,65559,65662,104,Unknown
right,65623,65727,105,0-6
right,65678,65785,108,1-5
right,65736,65786,51,1-5
left,65786,66190,405,1-5
left,66141,66241,101,1-5
left,66192,66297,106,Unknown
left,66248,66298,51,Unknown
right,66298,66422,125,Unknown
right,66373,66469,97,Unknown
right,66424,66524,101,Unknown
right,66476,66577,102,Unknown
right,66528,66646,119,Unknown
right,66597,66700,104,Unknown
right,66651,66701,51,Unknown
left,66701,67063,363,Unknown
left,67014,67113,100,Unknown
left,67065,67171,107,Unknown
left,67122,67217,96,Unknown
left,67175,67274,100,Unknown
left,67253,67385,133,Unknown
left,67336,67440,105,Unknown
left,67391,67496,106,Unknown
left,67447,67550,104,Unknown
left,67501,67590,90,Unknown
left,67553,68083,531,Unknown
left,68035,68135,101,Unknown
left,68087,68207,121,Unknown
left,68158,68208,51,Unknown
right,68208,68308,101,Unknown
right,68281,68387,107,0-6
right,68342,68400,59,0-6
right,68404,69147,744,1-5
right,69149,69385,237,Unknown
right,69336,69398,63,Unknown
right,69388,69647,260,Unknown
right,69600,69703,104,Unknown
right,69654,69735,82,Unknown
right,69708,69768,61,Unknown
right,69767,69873,107,Unknown
right,69837,69940,104,Unknown
right,69891,69941,51,Unknown
left,69941,70256,316,Unknown
left,70207,70308,102,Unknown
left,70259,70367,109,Unknown
left,70318,70423,106,Unknown
left,70374,70488,115,Unknown
left,70440,70492,53,Unknown
right,70492,70574,83,Unknown
