開始フレーム,終了フレーム,フォーメーション,方向,信頼度,内訳
47498,47564,0--6,left,1.0,0--6: 54
47697,47806,Unknown,left,1.0,"1--5: 21, 2--4: 19, 3--3: 25, Unknown: 45"
47811,47869,0--6,left,1.0,"0--6: 27, 1--5: 11, 2--4: 20"
47871,47875,2--4,left,1.0,2--4: 4
47877,47883,2--4,left,1.0,2--4: 5
47886,48012,1--5,left,1.0,"2--4: 18, 1--5: 99, 0--6: 9"
48309,48399,1--5,left,1.0,"1--5: 35, 2--4: 33, 3--3: 22"
48400,48400,1--5,right,1.0,1--5: 1
48401,48403,1--5,left,1.0,1--5: 2
48404,48404,2--4,right,1.0,2--4: 1
48512,48809,1--5,right,1.0,"0--6: 13, 1--5: 18, 2--4: 8"
48894,49253,1--5,left,1.0,"0--6: 87, 1--5: 188, 2--4: 85"
49256,49400,2--4,left,1.0,"0--6: 13, 1--5: 28, 2--4: 37, 3--3: 27, Unknown: 17"
49685,49707,1--5,right,1.0,"1--5: 16, 2--4: 2, 0--6: 3"
49956,50405,1--5,left,1.0,"0--6: 102, 1--5: 269, 2--4: 50, 3--3: 14, Unknown: 14"
50573,50766,2--4,left,1.0,"2--4: 84, 3--3: 71, Unknown: 6, 1--5: 32, 0--6: 1"
51008,51067,2--4,left,1.0,"1--5: 24, 2--4: 34"
51069,51128,Unknown,left,1.0,"3--3: 12, 2--4: 12, 1--5: 2, Unknown: 34"
51417,51914,1--5,right,1.0,"0--6: 127, 1--5: 322, 2--4: 26, Unknown: 6, 3--3: 6"
52073,52162,Unknown,left,1.0,"0--6: 5, 1--5: 25, 2--4: 13, 3--3: 15, Unknown: 29"
52517,52963,1--5,left,1.0,"0--6: 1, 1--5: 278, 2--4: 115, 3--3: 10, Unknown: 42"
53322,53493,1--5,right,1.0,"0--6: 7, 1--5: 136"
53544,53554,1--5,right,1.0,1--5: 10
53556,53634,1--5,right,1.0,1--5: 79
54185,54546,0--6,left,1.0,"0--6: 257, 1--5: 33, 2--4: 45, 3--3: 7, Unknown: 2"
54925,55558,1--5,right,1.0,"0--6: 107, 1--5: 398, 2--4: 19"
55638,55844,2--4,right,1.0,"1--5: 77, 2--4: 130"
55992,56053,3--3,right,1.0,"2--4: 24, 3--3: 29, Unknown: 7, 1--5: 1"
56055,56209,1--5,right,1.0,"2--4: 15, 1--5: 61, 0--6: 15"
56341,56349,1--5,right,1.0,"1--5: 3, 0--6: 1"
56352,56358,0--6,right,1.0,"0--6: 4, 1--5: 1"
56366,57467,0--6,right,1.0,"0--6: 2, 1--5: 2"
57469,57596,1--5,right,1.0,"1--5: 89, 0--6: 2, 2--4: 36"
57775,58193,1--5,right,1.0,"1--5: 87, 0--6: 78, 2--4: 2, 3--3: 10, Unknown: 9"
58393,58586,0--6,left,1.0,"0--6: 100, 1--5: 18, 2--4: 18, 3--3: 19"
58587,58590,1--5,right,1.0,1--5: 2
58593,58593,0--6,left,1.0,0--6: 1
58594,58594,1--5,right,1.0,1--5: 1
