開始フレーム,終了フレーム,フォーメーション,方向,信頼度,フォーメーション内訳,phase_id,manual_start,manual_end
48892,49253,3-3_left,left,0.93,"0-6_left: 96, 1-5_left: 207, 2-4_left: 6, 1-2-3_left: 40, 3-3_left: 13",27,48800,49400
49256,49421,2-4_left,left,0.92,"2-4_left: 50, 3-3_left: 30, 1-2-3_left: 52, 0-6_left: 4, 3-3_right: 14, 1-2-3_right: 1",27,48800,49400
49956,50766,0-6_left,left,0.92,"0-6_left: 226, 1-5_left: 99, 1-2-3_left: 238, 2-4_left: 72, 3-3_left: 8",28,50000,51200
50907,51010,3-3_right,right,0.84,"3-3_left: 1, 1-2-3_left: 1, 1-5_left: 1, 3-3_right: 2",28,50000,51200
51011,51067,2-4_left,left,0.92,"3-3_left: 9, 2-4_left: 10, 1-2-3_left: 25, 0-6_left: 9, 1-5_left: 4",28,50000,51200
51069,51200,1-5_left,left,0.91,"0-6_left: 15, 1-2-3_left: 2, 1-5_left: 35, 3-3_left: 40, 3-3_right: 19, 1-2-3_right: 10, 0-6_right: 1, 1-5_right: 7, 2-4_right: 3",28,50000,51200
51355,52051,2-4_right,right,0.91,"0-6_right: 9, 1-5_right: 25, 1-2-3_right: 194, 3-3_right: 206, 1-2-3_left: 20, 2-4_right: 27, 3-3_left: 67, 2-4_left: 17, 1-5_left: 3",29,51360,52000
52052,52512,0-6_left,left,0.91,"3-3_left: 9, 1-5_left: 7, 0-6_left: 44, 2-4_left: 3, 1-2-3_left: 52, 3-3_right: 8, 1-5_right: 1",30,52500,53000
52514,53161,1-5_left,left,0.93,"1-5_left: 137, 0-6_left: 140, 2-4_left: 40, 1-2-3_left: 33, 3-3_left: 65, 3-3_right: 28, 2-4_right: 6, 1-2-3_right: 3",30,52500,53000
53242,53554,1-2-3_left,right,0.88,"2-4_right: 27, 1-2-3_right: 16, 3-3_left: 7, 3-3_right: 81, 0-6_right: 32, 1-5_right: 51, 1-2-3_left: 2",31,53400,54000
53556,54189,3-3_right,right,0.88,"1-5_right: 12, 1-2-3_right: 24, 0-6_right: 1, 1-2-3_left: 50, 3-3_left: 118, 2-4_left: 70, 2-4_right: 3, 3-3_right: 22, 0-6_left: 41, 1-5_left: 39",31,53400,54000
54743,56086,1-2-3_right,right,0.91,"3-3_right: 226, 3-3_left: 295, 1-2-3_right: 208, 1-5_right: 51, 2-4_right: 65, 2-4_left: 27, 1-2-3_left: 36, 0-6_right: 22, 0-6_left: 41, 1-5_left: 2",32,54950,56300
56106,56366,1-2-3_right,right,0.88,"3-3_left: 94, 1-2-3_left: 31, 1-5_right: 15, 1-2-3_right: 10, 3-3_right: 37, 2-4_right: 3, 2-4_left: 38, 1-5_left: 8",32,54950,56300
57471,58192,1-2-3_right,right,0.9,"1-5_right: 34, 3-3_right: 115, 1-2-3_left: 19, 0-6_right: 74, 3-3_left: 45, 2-4_right: 44, 1-2-3_right: 59, 0-6_left: 14, 2-4_left: 2, 1-5_left: 15",33,57500,58000
58819,59501,2-4_right,right,0.92,"3-3_right: 141, 1-5_right: 63, 1-2-3_right: 86, 2-4_right: 109, 0-6_right: 24, 3-3_left: 31, 1-2-3_left: 20, 2-4_left: 35, 0-6_left: 7, 1-5_left: 3",34,58900,59450
60256,61062,2-4_right,right,0.92,"3-3_left: 89, 2-4_left: 22, 3-3_right: 107, 1-5_right: 47, 0-6_right: 54, 2-4_right: 256, 1-2-3_right: 42, 1-2-3_left: 1",35,60300,60800
