開始フレーム,終了フレーム,フォーメーション,方向,信頼度,フォーメーション内訳
63034,63415,1-5_left,left,0.92,"1-5_left: 22, 1-2-3_left: 26, 3-3_left: 19, 3-3_right: 38, 2-4_right: 8, 1-2-3_right: 14, 0-6_left: 2"
63417,64118,2-4_left,left,0.94,"0-6_left: 436, 1-2-3_left: 104, 1-5_left: 36, 2-4_left: 10, 3-3_left: 36, 3-3_right: 16"
64120,64201,3-3_right,left,0.92,"3-3_right: 21, 3-3_left: 7, 2-4_left: 54"
64394,65740,1-2-3_right,right,0.91,"1-5_left: 16, 3-3_left: 181, 1-2-3_right: 140, 1-5_right: 45, 0-6_right: 35, 2-4_right: 89, 3-3_right: 285, 2-4_left: 19, 1-2-3_left: 21"
65741,66199,0-6_left,left,0.94,"0-6_left: 186, 1-2-3_left: 59, 1-5_left: 126, 2-4_left: 21, 3-3_left: 4, 1-2-3_right: 2, 3-3_right: 36"
66298,66536,2-4_left,right,0.81,"3-3_left: 32, 1-2-3_right: 2, 3-3_right: 6, 1-5_right: 8, 2-4_left: 2, 1-2-3_left: 1, 1-5_left: 2"
66537,66596,3-3_left,left,0.89,"2-4_left: 4, 3-3_left: 8, 1-5_left: 9, 0-6_left: 39"
66598,66650,1-5_left,left,0.92,"1-5_left: 39, 0-6_left: 2, 2-4_left: 12"
66652,67009,0-6_left,left,0.92,"1-5_left: 61, 0-6_left: 156, 1-2-3_left: 23, 3-3_left: 46, 2-4_left: 15, 3-3_right: 34, 1-2-3_right: 1, 2-4_right: 22"
67266,67560,1-2-3_left,left,0.81,"0-6_left: 25, 1-5_left: 22, 1-2-3_left: 27"
67563,68158,2-4_left,left,0.87,"1-2-3_left: 85, 0-6_left: 179, 2-4_left: 10, 1-5_left: 41, 3-3_left: 11, 1-2-3_right: 50, 1-5_right: 14, 3-3_right: 65"
68159,68386,0-6_right,right,0.77,"0-6_right: 114, 1-5_right: 20, 1-2-3_left: 1, 1-2-3_right: 1, 3-3_right: 8, 0-6_left: 5"
68388,69147,3-3_right,right,0.9,"0-6_right: 62, 3-3_left: 213, 0-6_left: 1, 1-5_right: 24, 3-3_right: 200, 2-4_left: 64, 1-5_left: 5, 1-2-3_right: 86, 1-2-3_left: 13, 2-4_right: 83"
69149,69891,1-2-3_left,right,0.91,"3-3_left: 84, 0-6_right: 45, 1-2-3_right: 20, 3-3_right: 208, 1-5_right: 47, 2-4_right: 2, 1-2-3_left: 4, 1-5_left: 8"
69892,70201,0-6_left,left,0.92,"2-4_left: 45, 1-5_left: 96, 3-3_left: 64, 0-6_left: 74, 1-2-3_left: 23, 3-3_right: 8"
70493,70574,0-6_left,right,0.9,"1-2-3_left: 10, 2-4_left: 15, 3-3_left: 44, 1-5_left: 1, 0-6_left: 5"
